original_title,overview,genres,tagline,keywords,directors,cast,poster_path,status,spoken_languages,averageRating
L'heure exquise,"In the streets of Marseille, René Allio encounters, once again, the spaces of his childhood, and remembers his family history.",Documentary,"Documentary about Marseille in the 20s, filtered through the director's childhood memories","marseille, france, memory, childhood home",René Allio,"Paul Allio, Isabelle Fenech, Jean Maurel",/uMTYhGdwkMdFjVlmavBeFwrdRwP.jpg,Released,French,7.1
Baby Brown,"Action thriller trails two attractive female cops (Zoli Marki and Kryska Witowska) on the hunt for a lethal drug lord who’s responsible for injuring one of the women’s former partners. Things get even more dangerous when the two women learn they must guard the suspect’s girlfriend, who has decided to testify against him.",Action,They’re tough but beautiful... cops.,"undercover agent, cheese, south africa, johannesburg south africa, sexploitation, undercover cop, b movie, female cop, drug lord, illegal drugs, undercover operation",Joe Ford,"Zoli Marki, Kryska Wilkowska, John Bruce, Megan Choritz, Candy Lee Colins, Jeff Fannell, Frank Garrock, Dave Ridley",/88CN8jAmWzEOFv3YdZqZR5vuklX.jpg,Released,English,5.9
Triumph of the Spirit,The true story of a former Greek Olympic boxer taken prisoner during World War II and sent to Auschwitz. There he was permitted to survive so long as he fought for the amusement of his captors. His father and brother were also held as insurance that he would continue to fight.,"Drama, War","From the Academy Award Winning Producer of ""Platoon""","concentration camp, world war ii, jew persecution, auschwitz-birkenau concentration camp, boxer, biography, 1940s, boxing",Robert M. Young,"Willem Dafoe, Edward James Olmos, Robert Loggia, Wendy Gazelle, Kelly Wolf, Costas Mandylor, Kario Salem, Edward  Żentara, Hartmut Becker, Burkhard Heyl",/5A6U3T5iUyusiYCcmFltl2HNr9X.jpg,Released,"English, German",6.8
バトル・ロワイアルII 鎮魂歌,"It's three years after the events of the original Battle Royale, and Shuya Nanahara is now an internationally-known terrorist determined to bring down the government. His terrorist group, Wild Seven, stages an attack that levels several buildings in Tokyo on Christmas Day, killing 8000 people. In order for the government to study the benefits of ""teamwork"", the new students work in pairs, with their collars electronically linked so that if one of them is killed, the other dies as well. They must kill Nanahara in three days - or die.","Action, Thriller",This time it's war.,"island, loss of loved one, sequel, terrorism, death game","Kenta Fukasaku, Kinji Fukasaku","Shugo Oshinari, Ai Maeda, Tatsuya Fujiwara, Ayana Sakai, Natsuki Kato, Aki Maeda, Riki Takeuchi, Takeru Shibaki, Makoto Sakamoto, Yuki Ito",/sKoVS6wVmIY0fCDcJYZZ1y3yOK3.jpg,Released,Japanese,4.6
The Highway Rat,"The tale of a ravenous rat who craves buns, biscuits and all sweet things. Tearing along the highway, he searches for sugary treats to steal, until his sweet tooth leads him to a sticky end.","Family, Animation, Comedy",Give me your buns and your biscuits!,"based on children's book, rat, short film",Jeroen Jaspaert,"Rob Brydon, David Tennant, Nina Sosanya, Tom Hollander, Frances de la Tour, Husaam Kiani",/dxNKtY0e5pm6BFCdDMP3riRVBTb.jpg,Released,English,6.7
For Pete's Sake,"Henry is a woman who would do anything for her husband Pete, including borrow money so he has a chance of making his dreams come true. But now there's the loan sharks to deal with...",Comedy,Zany Barbra!,"new york city, money, loan shark",Peter Yates,"Barbra Streisand, Michael Sarrazin, Estelle Parsons, Molly Picon, William Redfield, Louis Zorich, Heywood Hale Broun, Richard Ward, Ed Bakey, Peter Mamakos",/mEnEEdoQogpwSmf7P4Wob5VnP3g.jpg,Released,English,6.2
The Adventures of Robin Hood,Robin Hood fights nobly for justice against the evil Sir Guy of Gisbourne while striving to win the hand of the beautiful Maid Marian.,"Adventure, Romance, History",Excitement... Danger... Suspense... as this classic adventure story sweeps across the screen!,"sword, repayment, robin hood, archer, richard the lionheart, sherwood forest, sword fight, nottingham, historical fiction, disguise, swashbuckler, medieval, technicolor, based on myths, legends or folklore, saxons, action hero, 12th century, king richard, vigilante justice","Michael Curtiz, William Keighley","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric Knowles, Eugene Pallette, Alan Hale, Melville Cooper, Ian Hunter, Una O'Connor",/c7LX3GMf9uXQTgVm3uxpm7E6Woc.jpg,Released,English,7.9
Full Body Massage,"Nina, an art dealer, has her weekly massage appointment and is surprised to find out her usual masseur, Douglas, has sent a replacement named Fitch. The pair develop an easy rapport during the session, with talk about past relationships. As Nina lies topless on the massage table, Fitch also takes time to explain various massage techniques, including those used by Hopi medicine men.","Drama, TV Movie",Feelings and desire that go beyond the physical.,"mystic, massage, art dealer",Nicolas Roeg,"Mimi Rogers, Bryan Brown, Christopher Burgard, Elizabeth Barondes, Gareth Williams, Patrick Neil Quinn, Heather Gunn, Gabriella Hall, Ross McKerras, William Fuller",/dyWG6GC2aktRXma00sdg7fmw18r.jpg,Released,English,5.5
Nightmare at Noon,"Scientists poison the water supply of a small town, turning the residents into homicidal maniacs who kill each other and anybody who passes through.","Action, Horror, Thriller",An experiment in terror.,"helicopter, sheriff, experiment, water supply",Nico Mastorakis,"Wings Hauser, Bo Hopkins, George Kennedy, Brion James, Kimberly Beck, Kimberly Ross, Neal Wheeler, David Christiansen, Mark Haarman, Jean St. James",/eSqiI4B3KlZHo4nS3xux4HylR7s.jpg,Released,English,5.1
Club Dread,When a serial killer interrupts the fun at the swanky Coconut Pete's Coconut Beach Resort -- a hedonistic island paradise for swingers --- it's up to the club's staff to stop the violence ... or at least hide it!,"Comedy, Horror",A vacation to die for.,"island, machete, beautiful woman, serial killer, slasher spoof, murder hunt",Jay Chandrasekhar,"Kevin Heffernan, Brittany Daniel, Bill Paxton, Steve Lemme, Jordan Ladd, Elena Lyons, Erik Stolhanske, Tanja Reichert, Nat Faxon, Julio Bekhor",/9slWyVotwxZNthMcKoeFaK3tgNz.jpg,Released,English,5.7
Night Bus,"A group of civilians share a bus ride to Sampar, a town full of natural resources. It is heavily guarded by the state army who is fighting against the rebel militias, who want freedom over their homeland.","Drama, Thriller, Action, Crime",Conflict doesn't choose its victims,"border crossing, indonesia, armed conflict, separatists",Emil Heradi,"Teuku Rifnu Wikana, Alex Abbad, Yayu Unru, Torro Margens, Edward Akbar, Tino Saroengallo, Abdurrahman Arif, Laksmi Notokusumo, Lukman Sardi, Tio Pakusadewo",/xz8DoqGevecvAVcbHNa5XiRcj6F.jpg,Released,Indonesian,6.8
Gene Autry and the Mounties,"Montana Marshals Gene and Scat are tracking some bank robbers. When the baddies cross into Canada, the Mounties are called upon to help.",Western,Gene and Champion ride with the mounties!,"outlaw gang, royal canadian mounted police (mountie)",John English,"Gene Autry, Champion, Elena Verdugo, Carleton Young, Richard Emory, Herbert Rawlinson, Trevor Bardette, Pat Buttram, Jim Frasher, Francis McDonald",/9PBRbGQtN1mmPYaBym0VNnocVb4.jpg,Released,English,6.2
Race,"Based on the story of Jesse Owens, the athlete whose quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy.","Drama, History",The incredible true story of gold medal champion Jesse Owens,"nazi, sports, olympic games, biography, historical figure, racism, track and field",Stephen Hopkins,"Stephan James, Jason Sudeikis, Eli Goree, Shanice Banton, Carice van Houten, Jeremy Irons, William Hurt, David Kross, Jonathan Higgins, Tony Curran",/3pKLVyz6LGQU8xEDhYHSHsfy5Bg.jpg,Released,"German, English",7.1
Porky's,"Set in 1954, a group of Florida high schoolers seek out to lose their virginity which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them.",Comedy,Keep an eye out for the funniest movie about growing up ever made!,"virgin, florida, everglades, stripper, loss of virginity, redneck, school, hijinks, racism, lust, peeping tom, teaching, misadventure, sex comedy, duringcreditsstinger, voyeur, virginity, 1950s, group shower",Bob Clark,"Dan Monahan, Mark Herrier, Wyatt Knight, Roger Wilson, Cyril O'Reilly, Tony Ganios, Kaki Hunter, Kim Cattrall, Art Hindle, Doug McGrath",/AqCOt1cWfKqCepxK7LIdT812idH.jpg,Released,"English, Italian",6.2
The Eye Creatures,"A teenager and his girlfriend must save the world from ""eye"" aliens after their attempts to convince authorities of an invasion fall on deaf ears.","Horror, Science Fiction, TV Movie",World Panic as UFOs Approach Earth...,"flying saucer, air force, alien, remake, military, disembodied hand",Larry Buchanan,"John Ashley, Cynthia Hull, Warren Hammack, Chet Davis, Bill Peck, Ethan Allen, Charles McLine, Nathan Wyle, Bob Cowan, Jonathan Ledford",/7vqyB8KcgafSzJXzi7fKDTKOHs0.jpg,Released,English,2.4
Donne proibite,"When ""Tamara"" throws herself from the window of their brothel, her colleagues are made to realise that a new law will close down the source of their livelihood. The girls must now find honest work.",Drama,Love was their trade!,"prostitute, based on novel or book, prostitution",Giuseppe Amato,"Linda Darnell, Valentina Cortese, Giulietta Masina, Anthony Quinn, Lea Padovani, Lilla Brignone, Carlo Dapporto, Alberto Farnese, Alberto Talegalli, Checco Durante",/8NVcJ9r77aBvHirltbOVORDZ5tM.jpg,Released,"English, Italian",6.7
Future Boyfriend,"Stuart and Kaylie are enjoying their third date until Stuart reveals a secret that threatens to derail their relationship. Is he telling the truth, or is it just science fiction?","Science Fiction, Comedy",A short film about falling in love in the wrong space time continuum.,short film,Ben Rock,"Ron Morehouse, French Stewart, Pat McNeely, Dominic Mora",/8hK6vytagNunsKNt6aXmYj2gu0e.jpg,Released,English,6.9
Almost a Gentleman,Saving a dog from the pound gets a man mixed up in murder.,"Action, Drama, Crime",A GREAT DOG - ON TRIAL...for his Life! ON TRAIL...of a Murder!,"falsely accused, murder, dog",Leslie Goodwins,"James Ellison, Helen Wood, Robert Kent, June Clayworth, Robert Warwick, Leonard Penn, John Wray, Brandon Tynan, Earle Hodgins, Lynton Brent",/k7tL45RlOCbEAXHtJCd5Vy3vM2g.jpg,Released,English,6.3
Shiva,"When one of the brothers (Ohayn) dies, all the whole family comes for Shiva (Jewish tradition,when the family sits seven days at the home after the death one of their family). A large family with a lot of problems and conflicts between them.","Drama, Thriller, War",One of the brothers of the family Ohaion dies. It is a large family.,woman director,"Ronit Elkabetz, Shlomi Elkabetz","Ronit Elkabetz, Albert Iluz, Simon Abkarian, Hana Laslo, Moshe Ivgy, Keren Mor, Alon Aboutboul, Rafi Amazaleg, Yaël Abecassis",/ftA1NiiTwcrQ2U41A4Pfokn8gzq.jpg,Released,Hebrew,6.8
The King Is Alive,"Stranded in the heat of a barren African desert, eleven bus-passengers shelter in the remnants of an abandoned town. As rescue grows more remote by the day and anxiety deepens, an idea emerges: why not stage a play. However the choice of King Lear only manages to plunge this disparate group of travelers into turmoil as they struggle to overcome both nature's wrath and their own morality.",Drama,As the sand shifts... madness nears.,"tourist, namibia, dogme 95, shakespearean",Kristian Levring,"Romane Bohringer, David Calder, Jennifer Jason Leigh, David Bradley, Brion James, Miles Anderson, Bruce Davison, Janet McTeer, Peter Khubeke, Chris Walker",/ktnT4AsCy2tG3lld3DDdiLPzT3w.jpg,Released,"English, French",6.3
Moj dida je pao s Marsa,"Una and an alien robot have 24 hours to find her Grandpa who was kidnapped by aliens. The extraordinary adventure leads to friendship, the rational robotic logic is replaced by emotions and Una's selfless love saves her partly alien family.","Adventure, Family, Science Fiction",Extraordinary adventure of a girl and an alien robot in a mission to save her partly alien family.,woman director,"Marina Andree Skop, Drazen Zarkovic","Lana Hranjec, Ozren Grabarić, Nils Ole Oftebro, Petra Polnišová, Frano Mašković, Marko Plešnik, Alex Rakoš",/bWXH1kEDlLkHmn2R0udaspgVQSJ.jpg,Released,Croatian,5.6
Happiness,"The lives of many individuals connected by the desire for happiness, often from sources usually considered dark or evil.","Comedy, Drama",Finding happiness can be a tragic comedy.,"pedophilia, secret love, rape, sibling relationship, lover (female), partnership, stalker, sister, relationship, pedophile, parenting, extramarital affair, family conflict, unhappiness, obscene telephone call",Todd Solondz,"Jane Adams, Jon Lovitz, Philip Seymour Hoffman, Dylan Baker, Lara Flynn Boyle, Justin Elvin, Cynthia Stevenson, Lila Glantzman-Leib, Gerry Becker, Rufus Read",/rYfUcEV88Z3gENrfYTE6i8yBkDr.jpg,Released,"English, Russian",7.7
Schirkoa,"In the city of Bag-heads, a senate member faces a tough choice between political career, brothels and love for a mysterious woman. A choice that will transform his life and the city in unimaginable ways.","Animation, Drama",Perfection can be a little unforgiving sometimes,"dystopia, retrofuturism",Ishan Shukla,"Kira Buckland, Nelly Esposito",/2yF28I7CYSLHK1DKSD2jioUEZmv.jpg,Released,"Spanish, English, Mandarin",6.5
Ride on Vaquero,"The Cisco Kid is captured while keeping a rendezvous with cantina dancer Dolores but is released by his captor, the commander of a U.S. Army regiment, to help break up a kidnap ring. On his way to Las Tables with his pal, Gordito, he makes a stop at the Martinez Rancho, where they learn that his friend Carlos has been kidnapped, from his wife Marquerita. At the Crystal Palace Saloon, Cisco runs into an old girlfriend, Sally, who he once jilted for a tight-rope walker, but she doesn't betray him when the sheriff and an army officer enter searching for Cisco.",Western,A Price On His Head... and A Noose Dangling Above It!,cisco kid,Herbert I. Leeds,"Cesar Romero, Mary Beth Hughes, Lynne Roberts, Chris-Pin Martin, Robert Lowery, Ben Carter, William Demarest, Robert Shaw, Edwin Maxwell, Paul Sutton",/lJBMYGXplTvfbs73qdgfB6HTbH1.jpg,Released,English,6.7
Sweeney Todd: The Demon Barber of Fleet Street,"In 1846, Anthony Hope sails into London with the mysterious Sweeney Todd, a once-naive barber whose life and marriage was uprooted by a corrupt justice system. Todd confides in Nellie Lovett, the owner of a local meat pie shop, and the two become partners, as Todd swears revenge on those that have wronged him and decides to take up his old profession.","Music, Drama, Thriller",A musical thriller.,"stage, musical, revenge, murder, barber, filmed theater",Terry Hughes,"Angela Lansbury, George Hearn, Cris Groenendaal, Sara Woods, Edmund Lyndeck, Calvin Remsberg, Betsy Joslyn, Ken Jennings, Sal Mistretta, Spain Logue",/kquTiilFvWujY5l7eXBV1Vm46Au.jpg,Released,English,8.3
Footnote,"When murder-mystery novelist, Jim, discovers that his wife has been unfaithful, he decides to give his readers a sinister twist in his latest bestseller.","Thriller, Comedy, Horror","Write to your heart's content, or until you want to kill someone.","cheat on husband, revenge, writer, feet, comedy thriller",Mary C. Russell,"Paris Dylan, Charlotte Kaseta",/tpjhXXtYqFIeJbHkr7lOSIAt0KK.jpg,Released,English,7.2
Rabbits,"A story of a group of humanoid rabbits and their depressive, daily life. The plot includes Suzie ironing, Jane sitting on a couch, Jack walking in and out of the apartment, and the occasional solo singing number by Suzie or Jane. At one point the rabbits also make contact with their “leader”.","Horror, Mystery, Comedy","In a nameless city, deluged by a continuous rain, three rabbits live with a fearful mystery.","surreal, intrigue",David Lynch,"Scott Coffey, Laura Harring, Naomi Watts, Rebekah Del Rio",/7HAGwm3IoiEOx5pqG6acHymZgoy.jpg,Released,English,6.9
Making Him Famous,"Mario King (Vonii Bristow) is an inspirational speaker in the constant pursuit of fame. Though his grandfather (Cameron Arnett) always instilled the importance of living a life of integrity, Mario's affluent lifestyle leads to temptation, sending him down a path of destruction fueled by his own greed and arrogance.  Disgraced and humiliated, Mario picks up a delivery job in a small town in North Carolina hoping to make ends meet. When a speeding ticket threatens his livelihood and freedom, Mario must take on community service work at Safe Harbor homeless shelter.  While reluctant at first, Mario soon finds his calling in helping others with the encouragement of Olivia McBride (Morgan Graham) and Steven Young (Cornelius Muller). As Mario re-discovers the true meaning of ""making Him famous,"" he begins to feel as if his past life is pulling him back.","Drama, Family",God Had Other Plans for Him,"faith, family, christian faith, inspirational film",Burgess Jenkins,"Vonii Bristow, Cameron Arnett, Lara Silva, Morgan Graham, Cornelius Muller, Joseph Gray, Jeremias Hadley, Aidan Armstrong, Hugo Acevedo, Danielle Tarmey",/2mVJuVYyIEyGwwJ7oINxK77yBmh.jpg,Released,English,7.8
777 ಚಾರ್ಲಿ,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie who is naughty and energetic which is a complete contrast with the Dharma’s character enters his life and gives him a new perspective towards it.,"Adventure, Comedy, Drama",A Tale of Dharmaraj in Kaliyug,"road trip, dog man friendship",Kiranraj K,"Rakshit Shetty, Bobby Simha, Sangeetha Sringeri, Bhargavi Narayan, Danish Sait, Harini Shreekanth, Mime  Ramdas, Dinesh Mangalore, Anirudh Mahesh, Bangalore Nagesh",/irmHAELoYRaECBr8zQAlD4myrfk.jpg,Released,Kannada,8.7
The Gays,"Wouldn't it be great if your parents taught you how to hold your own in a fag-eat-fag world? Rod Gay and Bob Gay-Paris are the streetwise gay mentors you never had. Come revel in the raunchy wisdom they pass along to their two gay sons - Alex and Tommy - advice that will empower the boys to bend the world over, lube it up, and snap one off!",Comedy,The family that gays together stays together.,gay theme,T.S. Slaughter,"Frank Holliday, Flip Jorgensen, Chris Tanner, Mike Russnak, Joshua Weigand, Nicholas Wilder, Matthew Benjamin, Micah Shane Ballinger, Phil. E. Eichinger, Roberto Larancuent",/jmq1LnN6qPnJRDGa74RAFAYe8gG.jpg,Released,English,4.5
In Like Flynn,"A mostly true account of future Hollywood star Errol Flynn's sea adventures in the early thirties, sailing from Australia to Papua in search of gold, along with his best friend Rex, a former Canadian smuggler; Dook, a handy English gentleman; and Charlie, a grumpy old sailor.","Comedy, Action, Adventure",Legend. Adventurer. Lover. Star.,"sydney, australia, australia, cinema on cinema, male friendship, biography, based on memoir or autobiography, papua new guinea, 1930s",Russell Mulcahy,"Thomas Cocquerel, Clive Standen, William Moseley, David Hennessey, Isabel Lucas, Callan Mulvey, Costas Mandylor, Grace Huang, Nathalie Kelley, David Wenham",/oPMEpcDlZVGa8xBhUUHteaPrvHw.jpg,Released,"Cantonese, English, Greek",5.2
Riding with Buffalo Bill,"Columbia Pictures elevated a run-of-the-mill B-western supporting player, Marshall Reed, to the title role in this equally run-of-the-mill western serial released in 15 chapters. Like most serials in the '50s, Riding with Buffalo Bill consisted of quite a bit of budget-stretching stock footage telling a highly fictionalized account of Buffalo Bill Cody aiding a group of ranchers in their defeat of a local crime lord. The serial's assistant director, Leonard Katzman, later produced the long-running television series Gunsmoke and Dallas.","Action, Adventure, Western",Make Way For The Greatest Plainsman In History!,"movie serial, buffalo bill",Spencer Gordon Bennet,"Marshall Reed, Rick Vallin, Joanne Rio, Shirley Whitney, Jack Ingram, William Fawcett, Gregg Barton, Edward Coch, Steven Ritch, Pierce Lyden",/gcGD3JXlrPUlFKy8kBf6hWEC351.jpg,Released,English,5.4
The Women's Club,"Patrick is a struggling screenwriter who takes a second job as a male prostitute. He is supposed to write by day and do right by his lonely clientele at night, but he develops writer's block. When Patrick decides to draw from his amorous experiences as inspiration for his next screenplay, the women conspire to prevent it.",Comedy,Think of what you love most. Now think of doing it ten times a day.,"prostitute, screenwriter, gigolo, male prostitution, writer",Sandra Weintraub,"Michael Paré, Maud Adams, Eddie Velez, Peter Adamson, G. Larry Butler, Kathryn Christopher, Dotty Coloroso, Cynthia Harris, Jill Jones, Regina Krueger",/nYMNqEbvk31NLJfQB9iw5QlWeNG.jpg,Released,English,4.0
Wyoming Renegades,"Brady Sutton returns from three years in prison and tries to go straight. One a member of the Butch Cassidy gang, he is still suspected of being cahoots with them. When Cassidy and his men rob the bank, he is blamed. Escaping from the townspeople, he once again joins up with Cassidy to wait for a chance to help bring him in.",Western,No man's life or wife or land is safe - till the women of Broken Bow line up with their men and start shooting!,"prison, bank, gang, butch cassidy",Fred F. Sears,"Philip Carey, Gene Evans, Martha Hyer, William Bishop, Douglas Kennedy, Roy Roberts, Don Beddoe, George Keymas, Harry Harvey, Mel Welles",/6Bjk8FJHchrSoDkbYD46YgHxFRj.jpg,Released,English,5.8
The Darker Side of Terror,"A psychological thriller about a research biologist who, angered when an associate is given a position over him based on stolen research findings, agrees to assist his former professor in a cloning experiment in which a duplicate of himself is created -- and which then, with a mind and will of its own, falls in love with the biologist's wife.","Science Fiction, Horror, TV Movie",What happens when you create the world's first perfect human ... and he turns out to be your wife's perfect lover?,"experiment, clone, scientist",Gus Trikonis,"Robert Forster, Adrienne Barbeau, Ray Milland, David Sheiner, John Lehne, Denise DuBarry, Jack De Mave, Thomas Bellin, Heather Hobbs, Eddie Quillan",/ehygPzhe9LilVraeLER19IGQSCx.jpg,Released,English,5.0
Savage,"After his family is murdered, and he's left for dead, a farmer awakens in the desert and finds himself transformed into a savage warrior, with all the powers and skills of the ancient gods. Guided by his ""spirit masters"" he's given a mission; destroy Tital Corporation, the world's most powerful high-tech computer company and its ambitious leader, Michael Burroughs. Burrough's has discovered the technological remains of an ancient race and a secret that will allow him to open the Vortex and achieve immortality. Out in the desert, ancient powers collide with sophisticated technology as the Savage and Burroughs meet in a titanic struggle that could destroy mankind.","Action, Science Fiction, Thriller",Beware the beast within.,"virtual reality, revenge, murder of family, revenge thriller, independent film",Avi Nesher,"Olivier Gruner, Jennifer Grant, Kario Salem, Kristin Minter, Sam McMurray, Herschel Sparber, Tom Schanley, Michael Cudlitz, Luke Askew, Maria von Hartz",/yjDz1BIvrbsVqi2SXCxXQzyqPOs.jpg,Released,English,4.1
Chapter & Verse,"Upon his return from serving a ten-year sentence in prison, reformed gang leader, S. Lance Ingram, struggles to adapt to a changed Harlem. Unable to use the technological skills he acquired in jail, Lance is forced to accept a position delivering meals for a local food bank. It is here that he befriends Ms. Maddy, 75, a past beauty with a irreverent and hardened shell to whom he delivers dinners. Through her, Lance finds hope, relearning the joys of life and living despite the outwardly bedeviled society in which they find themselves.","Drama, Crime",A Harlem Story,"prisoner, police, gang leader, thief, criminal",Jamal Joseph,"Loretta Devine, Omari Hardwick, Selenis Leyva, Marc John Jefferies, Khadim Diop, Justin Martin, Gary Perez",/lRkBe3IzEQ3OdWZVo6Zl3Q2ij7o.jpg,Released,English,6.5
Love at Large,"Vampish miss Dolan hires hardboiled P.I. Harry Dobbs to tail her shady boyfriend. Harry realizes that the man leads a double life but then his client disappears. Harry teams up with his own tail, P.I. Stella Wynkowski, to clear things up.","Comedy, Drama, Mystery, Romance",Love is the only lead worth following.,"jealousy, nightclub, private detective",Alan Rudolph,"Tom Berenger, Elizabeth Perkins, Anne Archer, Kate Capshaw, Annette O'Toole, Ted Levine, Ann Magnuson, Kevin J. O'Connor, Ruby Dee, Barry Miller",/A2l54MDhZjc2aD6sQPB7IeRAJjt.jpg,Released,English,5.7
Les Lapins Crétins - Invasion : Objectif Mars,"When Nebulous Industries announces they are recruiting Rabbids for a mission to Mars, Hibernation Rabbid doesn’t think twice. As a genius Rabbid misunderstood by his stupid peers, he has always dreamed of going to the red planet. He takes off with three other Rabbids: Disco, the lively queen of the dance-floor, Cosmo, the pilot and Mini, the adorable tiny Rabbid. Facing an interplanetary space threat, our heroes will have to learn how to overcome their differences and understand that true wisdom comes from the heart!",Animation,Just landed.,"mission, white rabbit, space mission, invasion, space, rabbit, curiosity, cartoon rabbit, special, curious, space adventure, planet invasion, anime, rabbids, animation, animated serial",Franz Kirchner,Damien Laquet,/2nQoUa3eY9YTqbcrPzdQVncDNfn.jpg,Released,"English, German, Hungarian, French",5.7
Angels in the Outfield,The short-tempered manager of the Pittsburgh Pirates mends his ways in return for a little divine assistance.,"Comedy, Family, Fantasy","The toughest guy you ever met... until an angel said ""Hello!""","nun, baseball, orphan, female journalist, pittsburgh, pennsylvania, angels",Clarence Brown,"Paul Douglas, Janet Leigh, Keenan Wynn, Donna Corcoran, Lewis Stone, Spring Byington, Bruce Bennett, Marvin Kaplan, Ellen Corby, Jeff Richards",/gxX5arrfeTqHTTAYmxbb3tGQUcf.jpg,Released,English,7.2
Paxmal,"Theo and Louis, two gay gentlemen, embark on a train journey to Paxmal. They are carrying an urn - it is the last journey for a friend. On their way deep into the Swiss Alps the two men, struggling with their fate, meet various people. While some of these people remind Theo and Louis again of the beautiful things in life, others confront them with ghosts from the past.",Drama,Two gay men set out on a train journey after losing a common friend to a homophobic attack when life slowly catches up with them.,"homophobia, switzerland, mountain, grief, male homosexuality, confrontation, lgbt, spiritual journey, sad story, homophobic attack, short film, paxmal",Sven Schnyder,"Carlos Leal, Peter Fischli, Clovis Kasanda, Margherita Schoch, Julia Monte, Yannik Zamboni, Michèle Hirsig, Yuna Kehm",/yeWv0AxeAfvgLhtVv87XkqH66hZ.jpg,Released,"German, French",6.8
Prince Igor,"Live performance from the Metropolitan Opera, March 1, 2014.  Absent from the Met stage since 1917, Borodin’s masterwork about an introspective prince’s military campaign against the invading Polovtsians returned in 2014 with a first-rate cast and an astonishing production by Dmitri Tcherniakov. Well worth the wait, the sets feature visually striking projections interlaced with lush flowering fields, and the first act delivers one of opera’s most exciting dance medleys, a portion of which went mainstream in the 1950s when Tony Bennett recorded “Stranger in Paradise.”",Music,The Metropolitan Opera: Prince Igor,"opera live performance, the metropolitan opera",Gary Halvorson,"Ildar Abdrazakov, Mikhail Petrenko, Sergey Semishkur, Vladimir Ognovenko, Andrey Popov, Oksana Dyka, Kiri Deonarine, Anita Rachvelishvili, Mikhail Vekua, Štefan Kocán",/cQxOVXgUR4SWuLttuD1aofZ3Gqy.jpg,Released,Russian,7.6
Jonas Kaufmann: An Evening with Puccini,"In June 2015, superstar tenor Jonas Kaufmann walked onto the stage of La Scala in Milan to perform a concert of Puccini arias. The concert made national news in Italy with the audience demanding five encores and a forty minute standing ovation. The film of this legendary performance, Jonas Kaufmann An Evening with Puccini, will be shown nationwide in over 300 movie theaters on February 23, and is available as a DVD and Blu-ray. Directed by Brian Large, the film includes an introduction about Puccini the man, the musician, the superstar narrated by Jonas and featuring rare archive footage. The program features a selection of Puccini s world-famous tenor arias all of which appear on Kaufmann s latest recording, Nessun dorma The Puccini Album.",Music,"The always wonderful, ever charming Jonas Kaufmann has another winner with ...","opera, giacomo puccini, la scala",Brian Large,Jonas Kaufmann,/8LNJwqZyzV3mmrsa5riWp8NJZpC.jpg,Released,"German, Italian",8.1
天下第一拳,A young boxer joins a martial arts school to increase his skill so he can enter a martial arts competition. He leaves the school when he hears that a local gangster is terrorizing the town. He comes to the aid of a young singer and brings on the wrath of the local gang. He eventually enters the martial arts competition after learning iron palm technique and takes out all competition.,Action,Come prepared for the thrill of a lifetime!,"martial arts, competition, אגרוף הברזל",Chang-hwa Jeong,"Lo Lieh, Wang Ping, Huang Chin-feng, Tien Feng, Tung Lam, Fang Mian, Ku Wen-Chung, James Nam Seok-Hoon, Yau Lung, Jin Bong-jin",/iAEd4aorPPLwbMNTYsQXLelHclo.jpg,Released,Mandarin,7.1
Three's a Crowd,"Harry, The Odd Fellow, is a tenement worker who lives alone in a shack alongside a warehouse and longs for the companionship of a wife and children like other men. One day he spies a pretty girl in his telescope and sends her by carrier pigeon a note that, alas, is received by the wrong party. The Girl marries and, poverty-striken, leaves her husband during a snowstorm. Harry takes her in, and minutes later her child is born. He works like a slave for the mother and child, pretending they are his own. Meanwhile, the husband finds her and comes to the shack on Christmas Eve as Harry is preparing to play Santa Claus. Not realizing the unhappiness she is causing him, The Girl thanks him profusely and leaves with her husband. Overcome, Harry sits overnight on the doorstep and the next morning is found frozen stiff except for his eyes--with amusing results.",Comedy,"Under the magic of Harry's wistful smile, the world of make-believe turns into life- sad, joyous, bitter-sweet...just as life is","loneliness, tenement",Harry Langdon,"Harry Langdon, Gladys McConnell, Cornelius Keefe, Arthur Thalasso, Brooks Benedict, Henry A. Barrows, Julia Brown, Joe Butterworth, John Kolb, Frances Raymond",/6ym8dQWvZUCBh90bEL0jzEkyJyX.jpg,Released,No Language,6.1
